"id";"role";"name";"email";"phone";"address";"password";"profile_pic";"birthdate"
240;"admin";"Marut";"marut@gmail.com";0;"";"$2b$10$ulL4VX7rHTViJE5Cvi7e6ux8Xfd5qvhe.R7J40QCK0GgPpYFQm56y";"download(1).jpg-1593887810599.jpg";"1970-01-08"
241;"sub_admin";"nikhil";"nikhil@gmail.com";0;"";"$2b$10$HTUEkamXTM/0Ic1QZdaTeuKJAhSNJw7Tfy.kQ9GcsW54e4M6RVZgC";"download.jpg-1592593201896.jpg";"1970-01-01"
242;"default";"nisha";"nisha@gmail.com";0;"";"$2b$10$7oyIuBu3AoYK6WzoHJrrtuECZCZ/EYo4E.Ac6WsHJKr9MAnjUVl/O";"download(1).jpg-1592990567209.jpg";"1970-01-01"
245;"default";"raju";"raju@gmail.com";0;"";"$2b$10$lJcFzt6bjvga4.HRY8Of9.lCdyPRkCa1xstyViRxjqjfKmOziiuay";"download(1).jpg-1592990600633.jpg";"2020-06-15"
246;"default";"jaimitaben";"jaimita@gmail.com";0;"";"$2b$10$poLZjLdyILbMB8MLtM9yU.Aa1oLxpuQvZJzrMKRM2MLe6SxpREDxi";"40-Creative-Logo-Designs-to-Inspire-You-Databerry-2.jpg-1592990610455.jpg";"2020-06-01"
247;"default";"manav";"manav@gmail.com";0;"";"$2b$10$0a2cBKIFDfhAsGjkJI8rluSgIxAioZXMVNYNO0.Dz0nFFQ/P1d.Ma";"40-Creative-Logo-Designs-to-Inspire-You-Databerry-2.jpg-1592990753230.jpg";"2020-06-18"
248;"default";"urvashi";"urvashi@gmail.com";0;"";"$2b$10$Oa7GtNkzNmcS0WDnW1kVxOwfVA3XM47sPhS7FJTmKVJTpIdQMn5fy";"download.jpg-1593167751004.jpg";"2020-06-01"
249;"default";"dax";"dax@gmail.com";0;"";"$2b$10$ICSUcAHOpKzVNES/RNiL8uuCLa2FY0r4gPvDhj33iNmphhsHNjKKG";"download.jpg-1593167981911.jpg";"2020-06-02"
250;"default";"pratik";"pratik@gmail.com";0;"";"$2b$10$rI5wTHEadDS20NyeF/s6c.6oTLolHOBIheZj.OIjEbcefG7LCixYm";"download(1).jpg-1593168160030.jpg";"1970-01-01"
251;"default";"montu";"montu@gmail.com";0;"";"$2b$10$QuEd5vTpCIlQhLynMwOgHu9Q9u8FCYWk7HDDLeCv1CAPwkoKRlVZq";"40-Creative-Logo-Designs-to-Inspire-You-Databerry-2.jpg-1593405284675.jpg";"2020-06-01"
254;"default";"mehul";"mehul@gmail.com";0;"";"$2b$10$E2nvsTcM47UcioSVjHg.tOemTO1QScLkNR5p1ndfX0v0Bsikp7ZPS";"40-Creative-Logo-Designs-to-Inspire-You-Databerry-2.jpg-1593758619330.jpg";"2020-07-03"
255;"admin";"admin";"admin@gmail.com";0;"";"$2b$10$2bw2bvD661tx2SgFQFjN7.Ary0Fd/nEXS/lvtl4n6/jjdZWGHjvie";"download.jpg-1593760994954.jpg";"2020-07-07"
256;"sub_admin";"dilip";"dilip@gmail.com";0;"";"$2b$10$jYqhf83BbyzN.3tA9M3C0.phhImQruWMETWUhjqF.E.jfSrpdbLqG";"download(1).jpg-1593801680593.jpg";"2020-07-16"
257;"default";"rangit";"rangit@gmail.com";0;"";"$2b$10$9QGgZDSh.h0eMG0Y7ex3/.sATlAd64H0S9TVjiy.xa68AmqViF0Ay";"download.jpg-1593801916279.jpg";"2020-07-07"
258;"default";"Manek";"manek@gmail.com";0;"";"$2b$10$HeM0z1BiAG6y9Pz1RIxNSuoBNjifeNdGF9w4ClO5lB7ovev.7hRKu";"download.jpg-1593802166228.jpg";"2020-07-16"
